ID,Name,Category,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Linoleic acid (g),Alpha-linolenic acid (g),Eicosapentaenoic acid EPA (g),Docosahexaenoic acid (DHA) (g),Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg)","Vitamin A activity, RAE (µg)",Retinol (µg),Beta- carotene activity (µg),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Pantothenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (α-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg),Record has changed
532,Raclette cheese,Milk and dairy products/Hard cheese,357,27.9,16.7,6.5,1.3,0.34,0.21,0.021,0.003,84.0,0.0,0.0,0.0,0.0,25.9,1.8,0.0,41.4,272.0,264.0,255.0,100.0,100.0,0.01,0.29,0.06,1.55,0.2,49.0,0.25,,0.3,0.68,70.0,730.0,1100.0,670.0,27.0,490.0,0.1,11.0,3.9,,
458,"Radicchio red, raw",Vegetables/Fresh vegetables,19,0.1,0.0,,0.1,,,,,0.0,1.6,1.6,0.0,3.0,1.4,0.0,0.0,91.6,133.0,67.0,0.0,800.0,800.0,0.06,0.05,0.05,0.0,0.3,14.1,0.19,7.7,0.0,0.57,350.0,7.5,33.0,31.0,10.0,41.0,0.4,,0.2,0.1,
361,"Radish, raw",Vegetables/Fresh vegetables,24,0.1,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,3.9,2.9,0.4,1.5,1.0,0.0,0.0,93.5,7.0,3.0,0.0,40.0,40.0,0.03,0.04,0.07,0.0,0.4,30.1,0.11,15.1,0.0,0.0,270.0,9.3,19.0,34.0,6.9,22.0,0.2,1.1,0.2,0.1,
456,"Radish, red, raw",Vegetables/Fresh vegetables,14,0.1,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,1.5,1.1,,1.4,0.9,0.1,0.0,94.6,2.0,1.0,0.0,12.0,12.0,0.02,0.04,0.05,0.0,0.25,45.3,0.08,16.3,0.0,0.01,300.0,28.0,36.0,32.0,9.5,18.0,0.3,1.0,0.1,0.1,
477,"Raisins, dried (grape)/ sultanas",Fruit/Dried fruit,321,0.9,0.3,0.3,0.2,0.17,0.01,0.0,0.0,0.0,73.2,70.3,0.5,4.2,3.0,0.1,0.0,16.0,0.0,0.0,0.0,3.0,3.0,0.11,0.03,0.08,0.0,0.61,4.0,0.12,0.2,0.0,0.12,780.0,21.0,10.0,80.0,41.0,110.0,2.3,2.0,0.2,7.3,
600,Rapeseed oil,Fats and oils/Oils,900,100.0,6.9,60.2,28.3,19.66,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1069,"Rapeseed oil HOLL (high oleic, low linolenic)",Fats and oils/Oils,900,100.0,7.0,76.0,12.0,8.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
917,Rascal (Shortbread cookie with jam),Sweets/Other sweet pastries,499,25.6,15.1,5.9,1.4,0.55,0.21,0.019,0.002,67.0,60.3,30.9,29.1,1.9,5.8,0.1,0.0,6.8,223.0,214.0,205.0,109.0,109.0,0.07,0.04,0.07,0.01,0.35,3.6,0.17,1.0,0.4,0.63,110.0,34.0,59.0,14.0,16.0,60.0,1.0,1.0,0.6,1.6,
390,"Raspberry, raw",Fruit/Fresh fruit,44,0.8,0.1,0.2,0.4,0.27,0.16,0.0,0.0,0.0,5.8,5.4,,4.3,1.2,0.0,0.0,86.8,5.0,2.0,0.0,28.0,4.0,0.02,0.04,0.05,0.0,0.43,25.5,0.41,20.7,0.0,0.94,170.0,,11.0,16.0,20.0,29.0,0.4,3.0,0.2,0.2,
1665,"Ratatouille, prepared",Vegetables/Cooked vegetables (incl. cans),45,2.1,0.3,1.4,0.3,0.19,0.04,0.0,0.0,0.0,4.1,3.6,0.1,2.1,1.3,0.5,0.0,90.4,57.0,28.0,,341.0,341.0,0.04,0.05,0.14,0.0,0.62,21.1,0.17,36.4,0.0,1.0,230.0,190.0,310.0,21.0,13.0,35.0,0.4,1.0,0.2,1.3,
